Tier 1 Suppliers,Producer Name,Abbreviation Name,Region,Source
Ofi,societe cooperative simplifiee des agriculteurs cafe- cacao de divo-menehiri,coopadim,Divo,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,societe cooperative agricole de gagny,coopagagny,Gagny,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole du garo,coopagaro,Divo,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative espoir de guepahouo,coopages,Guépahouo,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole de gnipi 2,coopagnipi,Gnipi 2,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole de goudouko,coopago,Lakota,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole here de kranzadougou,coopahk,Guiglo,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,societe cooperative kishwensida cochem-dida,coopakcodi,Divo,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole de kokolilie,coopakoko,Kokolilie (Lakota),https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole de lassinan bango,coopalba,Mene Centre,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,societe cooperative agricole moderne de divo,coopamdi,Divo,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole des amis de la nature de man,coopanam,Man,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole de ousmanekro,coopaou,San Pedro,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
